date_july,local_ip_july,remote_asn_july,flows_july,date_aug,local_ip_aug,remote_asn_aug,flows_aug,date_sept,local_ip_sept,remote_asn_sept,flows_sept
701,0,701,1,801,0,209,1,901,0,209,1
701,0,714,1,801,0,701,6,901,0,701,2
701,0,1239,1,801,0,1103,1,901,0,1239,1
701,0,1680,1,801,0,2856,1,901,0,2152,1
701,0,2514,1,801,0,3112,1,901,0,2828,1
701,0,3320,1,801,0,3356,1,901,0,3216,1
701,0,3561,13,801,0,3561,30,901,0,3243,1
701,0,4134,3,801,0,3671,8,901,0,3549,1
701,0,5617,2,801,0,4589,1,901,0,3561,34
701,0,6478,1,801,0,4713,1,901,0,3671,11
701,0,6713,1,801,0,4766,1,901,0,4134,1
701,0,7132,1,801,0,4788,1,901,0,4323,2
701,0,9105,1,801,0,4837,1,901,0,4589,1
701,0,10738,1,801,0,4847,1,901,0,4725,952
701,0,10994,1,801,0,6221,1,901,0,4766,1
701,0,12334,1,801,0,6432,1,901,0,6432,1
701,0,12524,1,801,0,6724,1,901,0,6724,1
701,0,12542,1,801,0,6799,1,901,0,6939,1
701,0,13343,1,801,0,6939,1,901,0,7132,1
701,0,13446,1,801,0,7015,1,901,0,7738,1
701,0,13462,20,801,0,7132,2,901,0,8075,1
701,0,13867,1,801,0,8112,1,901,0,9121,1
701,0,13989,1,801,0,8560,1,901,0,9318,2
701,0,14501,37,801,0,9121,1,901,0,12021,2
701,0,16755,1,801,0,9299,1,901,0,12322,4
701,0,17228,1,801,0,9316,307,901,0,13156,1
701,0,19262,1,801,0,9318,1,901,0,13462,59
701,0,19444,1,801,0,11232,1,901,0,13989,1
701,0,20258,1,801,0,11351,1,901,0,19262,2
701,0,20299,1,801,0,11398,1,901,0,19290,2
701,0,20685,1,801,0,11790,1,901,0,19429,1
701,0,21003,1,801,0,12322,1,901,0,20115,1
701,0,24915,2,801,0,13343,1,901,0,22047,1
701,0,29571,1,801,0,13462,24,901,0,22291,1
701,0,32636,1,801,0,13989,1,901,0,22927,1
701,1,680,1,801,0,15169,1,901,0,26831,1
701,1,1239,6,801,0,16246,2,901,0,30099,1
701,1,2828,2,801,0,16526,1,901,0,30222,1
701,1,3265,519,801,0,16713,1,901,0,33070,2
701,1,4134,9,801,0,19262,3,901,0,33657,1
701,1,4804,1,801,0,22364,1,901,0,33668,1
701,1,4808,3,801,0,22773,1,901,0,34194,1
701,1,6713,7,801,0,24407,1,901,0,34910,2
701,1,6830,1,801,0,27699,1,901,2,59,1
701,1,8282,21,801,0,30222,3,901,2,209,45
701,1,9768,1,801,0,33182,1,901,2,1241,5
701,1,11908,5,801,0,34561,2,901,2,1312,81
701,1,12859,52,801,0,36727,2,901,2,3557,1
701,1,14501,3,801,1,174,2,901,2,3561,3
701,1,14777,4,801,1,855,1,901,2,4323,4
701,1,14778,2,801,1,1299,2,901,2,4725,948
701,1,15557,1,801,1,3265,1392,901,2,5650,118
701,1,19548,1,801,1,3320,1,901,2,7018,154
701,1,24915,1,801,1,3446,5,901,2,7132,86
701,2,1312,218,801,1,3462,4,901,2,7377,81
701,2,3561,8,801,1,3561,27,901,2,9318,1
701,2,3659,1,801,1,3999,1,901,2,11414,24
701,2,4323,8,801,1,4134,1,901,2,12322,954
701,2,5617,3,801,1,4323,1,901,2,14425,54
701,2,5661,6,801,1,7016,1,901,2,19181,1
701,2,7018,933,801,1,7132,28,901,2,19918,311
701,2,7132,3,801,1,9316,307,901,2,26803,1
701,2,7377,198,801,1,9808,1,901,2,29863,4
701,2,14501,62,801,1,12302,158,901,2,30099,6
701,2,19918,50,801,1,12322,1,901,2,33260,14
701,2,29863,4,801,1,13767,1,901,2,33650,27
701,2,33260,8,801,1,14778,14,901,2,33651,17
701,2,33650,174,801,1,16246,1129,901,3,1668,2
701,2,36114,1,801,1,16810,1,901,3,2497,2
701,3,1239,1,801,1,17813,2,901,3,4725,1
701,3,2152,1,801,1,19169,12,901,3,7725,3
701,3,4134,1,801,1,19262,1,901,3,9318,2
701,3,4808,7,801,1,23724,1,901,3,14361,2
701,3,11908,6,801,1,25525,1,901,3,23859,1
701,3,14501,2,801,1,29737,1,901,3,25351,1
701,3,15290,1,801,1,34320,1,901,4,3561,6
701,3,17429,1,801,2,47,1,901,4,4725,951
701,3,24915,2,801,2,59,1,901,4,6428,1
701,4,1239,5,801,2,81,4,901,4,7132,23
701,4,1668,1,801,2,701,17,901,4,8001,1
701,4,3356,21,801,2,1312,84,901,4,9318,1
701,4,3561,10,801,2,3557,3,901,4,10970,1
701,4,4323,1,801,2,3561,15,901,4,12322,1
701,4,8282,21,801,2,3659,1,901,4,14778,2
701,4,11908,1,801,2,5650,161,901,4,23342,3
701,4,14501,34,801,2,6106,2,901,4,23859,635
701,4,14778,6,801,2,6366,2,901,4,31976,83
701,4,24915,1,801,2,6478,4,901,4,33651,275
701,4,31976,83,801,2,7132,12,901,5,209,1
701,5,2152,3,801,2,7377,74,901,5,1668,2
701,5,3561,3,801,2,7774,2,901,5,2152,4
701,5,4134,1,801,2,8001,2,901,5,2497,2
701,5,4808,7,801,2,9316,307,901,5,3561,1
701,5,8070,6,801,2,11414,14,901,5,4134,1
701,5,8075,4,801,2,12322,1,901,5,4725,1
701,5,11908,6,801,2,15169,1,901,5,7725,5
701,5,13867,2,801,2,16246,3,901,5,8070,5
701,5,14366,8,801,2,16572,2,901,5,8075,5
701,5,14501,1,801,2,19181,1,901,5,9318,2
701,5,15290,2,801,2,21928,2,901,5,12322,2
701,5,24915,1,801,2,29863,4,901,5,13867,3
701,6,1239,2,801,2,30099,8,901,5,14361,1
701,6,4134,14,801,2,32102,10,901,5,23859,1
701,6,4808,8,801,2,33650,14,901,5,25351,4
701,6,4837,6,801,2,36114,2,901,6,1668,2
701,6,10565,11,801,3,209,1,901,6,2497,4
701,6,11908,13,801,3,3320,2,901,6,4134,1
701,6,12968,1,801,3,4134,1,901,6,4725,2
701,6,14501,2,801,3,4812,1,901,6,4812,1
701,6,15290,4,801,3,7132,30,901,6,4837,2
701,6,17429,1,801,3,9316,1,901,6,7725,6
