date0,local_ip0,remote_asn0,flows0,date1,local_ip1,remote_asn1,flows1,date2,local_ip2,remote_asn2,flows2,date3,local_ip3,remote_asn3,flows3,date4,local_ip4,remote_asn4,flows4,date5,local_ip5,remote_asn5,flows5,date6,local_ip6,remote_asn6,flows6,date7,local_ip7,remote_asn7,flows7,date8,local_ip8,remote_asn8,flows8,date9,local_ip9,remote_asn9,flows9
701,0,701,1,701,1,680,1,701,2,1312,218,701,3,1239,1,701,4,1239,5,701,5,2152,3,701,6,1239,2,701,7,109,7,701,8,25,4,701,9,102,43
701,0,714,1,701,1,1239,6,701,2,3561,8,701,3,2152,1,701,4,1668,1,701,5,3561,3,701,6,4134,14,701,7,2152,46,701,8,26,3,701,9,209,6
701,0,1239,1,701,1,2828,2,701,2,3659,1,701,3,4134,1,701,4,3356,21,701,5,4134,1,701,6,4808,8,701,7,3356,55,701,8,109,7,701,9,559,1
701,0,1680,1,701,1,3265,519,701,2,4323,8,701,3,4808,7,701,4,3561,10,701,5,4808,7,701,6,4837,6,701,7,3491,3,701,8,209,4,701,9,701,8
701,0,2514,1,701,1,4134,9,701,2,5617,3,701,3,11908,6,701,4,4323,1,701,5,8070,6,701,6,10565,11,701,7,3561,35,701,8,557,10,701,9,1239,17
701,0,3320,1,701,1,4804,1,701,2,5661,6,701,3,14501,2,701,4,8282,21,701,5,8075,4,701,6,11908,13,701,7,3582,10,701,8,786,6,701,9,2152,193
701,0,3561,13,701,1,4808,3,701,2,7018,933,701,3,15290,1,701,4,11908,1,701,5,11908,6,701,6,12968,1,701,7,4513,6,701,8,1103,1,701,9,2911,71
701,0,4134,3,701,1,6713,7,701,2,7132,3,701,3,17429,1,701,4,14501,34,701,5,13867,2,701,6,14501,2,701,7,6432,10,701,8,1653,5,701,9,3356,34
701,0,5617,2,701,1,6830,1,701,2,7377,198,701,3,24915,2,701,4,14778,6,701,5,14366,8,701,6,15290,4,701,7,7805,2,701,8,1668,4,701,9,3561,13
701,0,6478,1,701,1,8282,21,701,2,14501,62,702,3,766,2,701,4,24915,1,701,5,14501,1,701,6,17429,1,701,7,7859,2,701,8,2152,21,701,9,4267,2
